croissance,reduction,gain,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-2.0,5.0,4.0,1.0,0.9719444181024961,0.9434979225399981,0.8960198316449985,0.8538702771174996,0.8042516674300018,0.7590692658449979,0.7073243615649979,0.662021105932503,0.6272289582274966,0.590811281070003,0.5631264449274989,0.5302889259699991,0.49188739812999976,0.460938936322502,0.418778668325,0.3743076725199984,0.3333841825425001,0.29534563987999857,0.2586180071775003,0.22390067895250051,0.1903060689324991,0.15226909829250018,0.12361907618249977,0.09764094573750015,0.07353653514750005
-2.0,5.0,4.5,1.0,0.9716019621099962,0.9428246757124971,0.8949847186974984,0.8528340551125,0.8028335620325018,0.7572138262524983,0.7062246722249972,0.661389189310003,0.6276105667374972,0.5901411663450028,0.5626361128899982,0.528974283512499,0.48995322676999964,0.4595736729700019,0.4173120245975002,0.3727482955899981,0.3318850334424993,0.2934893658974988,0.25672636672250077,0.2224281668450005,0.18824204886249954,0.15060863043249953,0.12173069078250018,0.09559945222749977,0.06995393106999986
-2.0,5.0,5.0,1.0,0.9716019621099962,0.9428246757124971,0.8949847186974984,0.8528340551125,0.8028335620325018,0.7572138262524983,0.7062246722249972,0.661389189310003,0.6276105667374972,0.5901411663450028,0.5626361128899982,0.528974283512499,0.48995322676999964,0.4595736729700019,0.4173120245975002,0.3727482955899981,0.3318850334424993,0.2934893658974988,0.25672636672250077,0.2224281668450005,0.18824204886249954,0.15060863043249953,0.12173069078250018,0.09559945222749977,0.06995393106999986
-2.0,7.5,0.0,1.0,0.9716245996749941,0.9430162119774969,0.8958059728974981,0.8538299904024993,0.8048171545650027,0.7604567541374975,0.7089360604624961,0.665868840230003,0.6319360582624967,0.5971489646100034,0.5704221459674964,0.5360402770449985,0.4998790959824996,0.4665432354650018,0.4247397652600002,0.3807446911424981,0.33949359578999966,0.3021636800649986,0.2667095715850006,0.2336202839550001,0.20128207864249947,0.16554384516249968,0.13685292677749938,0.11043654454249978,0.08548169326499995
-2.0,7.5,0.5,1.0,0.9716245996749941,0.9430162119774969,0.8958059728974981,0.8538299904024993,0.8048171545650027,0.7604567541374975,0.7089360604624961,0.665868840230003,0.6319360582624967,0.5971489646100034,0.5704221459674964,0.5360402770449985,0.4998790959824996,0.4665432354650018,0.4247397652600002,0.3807446911424981,0.33949359578999966,0.3021636800649986,0.2667095715850006,0.2336202839550001,0.20128207864249947,0.16554384516249968,0.13685292677749938,0.11043654454249978,0.08548169326499995
-2.0,7.5,1.0,1.0,0.9716566575274942,0.9431326645324968,0.8961372145024978,0.8542360284274991,0.8053605536000026,0.7611808394074976,0.7096937542349963,0.666384444230003,0.6323095945199967,0.5975171079825035,0.5708241495449965,0.5362192235849984,0.5000014625649996,0.46673088699750176,0.4248403150100002,0.380664116207498,0.3394624961524997,0.3021437911149986,0.26691523994500055,0.23374080037000006,0.20129501993499946,0.16544992716499965,0.13677403425249937,0.11037181348499978,0.08543025387999997
-2.0,7.5,1.5,1.0,0.9712743641824954,0.9422482454149964,0.8948859099324971,0.8524564686874989,0.8030731799425029,0.7583049299849981,0.7067716157224979,0.6628060210950021,0.6286060970974967,0.5937121535800024,0.5666584747599976,0.5331098649399988,0.4968954964524997,0.46393361280250134,0.4219709704850002,0.3774412959074985,0.3367585350574994,0.2994561210299992,0.26365085137750066,0.22999863094750025,0.19702425952499916,0.16047024871999935,0.13203090849250004,0.10617741283749972,0.08140196223499993
-2.0,7.5,2.0,1.0,0.9716499432749959,0.9429841451874966,0.8957057332924974,0.8532154692874993,0.8037451284525031,0.7588763944349985,0.7073820211224985,0.6630099637225016,0.6280311732224974,0.5916775364250025,0.5642801265699985,0.5314797925049988,0.49475704492999983,0.4620904331775016,0.42009325802749997,0.3758164634249988,0.33456055122499956,0.2969435296974992,0.26164861600000067,0.22739468494750034,0.19468040223499905,0.15789979518749953,0.12897818145000012,0.10306082734499988,0.07852816088749999
-2.0,7.5,2.5,1.0,0.9715669007774959,0.9427572468699968,0.8954986505374977,0.8530376886524995,0.8037047605550031,0.7585849419274983,0.7071200408099986,0.6623264623175017,0.6274008423024975,0.5912852160125024,0.5636218703549984,0.530875941852499,0.4938958448224999,0.4617692532575017,0.4199660926775,0.3758471100824989,0.33468690536999957,0.2968573573949992,0.26148321358000065,0.22740009630750027,0.19470112180499907,0.1580961750924995,0.12922094457750014,0.10333809110249989,0.07901507882749999
-2.0,7.5,3.0,1.0,0.9713473496224959,0.9423446568449979,0.8944597538199985,0.8518386484999997,0.8017307300675022,0.7564837616024979,0.7045536235374985,0.6591003624350026,0.6243950777949966,0.5888367659750026,0.5606578781924988,0.5279323198999992,0.49032282693749957,0.45875246522250196,0.4172616411249998,0.3732541421624985,0.3318488269124999,0.2942688614149987,0.25828555521000035,0.22420683300750033,0.1913014266149991,0.15433754679250014,0.12511986779499984,0.09909358730250022,0.07499769250000002
-2.0,7.5,3.5,1.0,0.9712265737974961,0.9421977386424981,0.8942277175699986,0.8516425240674996,0.801539777332502,0.7561673656674978,0.7043498755849983,0.6592057694375026,0.6244724168999966,0.5880064825300029,0.560195658847499,0.5276863624199993,0.4897843749974997,0.4581488934025019,0.41614265386999993,0.3720260728224987,0.331020948835,0.2935396334824986,0.2572912449625003,0.22300826850250058,0.18972733053499902,0.1529184385550002,0.12429979841499969,0.09861929358500021,0.07448861709000011
-2.0,7.5,4.0,1.0,0.9711758370699962,0.9420226741324982,0.8939218769449986,0.8512686436449995,0.8009607029625018,0.7555491257424979,0.7039097013974979,0.6585540527525029,0.6236286889799966,0.5871574084900031,0.5594877880499989,0.5267632002499993,0.4888569255899997,0.45733905394250207,0.41540229079999996,0.37115088027499843,0.3301475287325,0.2923297353649985,0.2560027307375003,0.2214576369750005,0.18823626818249914,0.15090465149250018,0.12218564454499978,0.09687538534000013,0.07300624334250007
-2.0,7.5,4.5,1.0,0.9708333810774963,0.9413487082624973,0.8929250128324981,0.8502244830125,0.7994718431800016,0.7536816928024982,0.7027991465074972,0.6578864514675031,0.6239256337249972,0.586335063397503,0.558897601329998,0.5253452955224991,0.4868850294499996,0.4558547306025019,0.4138460238750002,0.36954224228999805,0.3285727868449992,0.29039880044249883,0.2541318444950008,0.2199926097500005,0.18617480957749957,0.14923198242249955,0.12028527132250018,0.09482213879249979,0.06938092752249987
-2.0,7.5,5.0,1.0,0.9708333810774963,0.9413487082624973,0.8929250128324981,0.8502244830125,0.7994718431800016,0.7536816928024982,0.7027991465074972,0.6578864514675031,0.6239256337249972,0.586335063397503,0.558897601329998,0.5253452955224991,0.4868850294499996,0.4558547306025019,0.4138460238750002,0.36954224228999805,0.3285727868449992,0.29039880044249883,0.2541318444950008,0.2199926097500005,0.18617480957749957,0.14923198242249955,0.12028527132250018,0.09482213879249979,0.06938092752249987
-2.0,10.0,0.0,1.0,0.964673027,0.928909687,0.875467117,0.827719027,0.773897794,0.724540787,0.669225064,0.62147636,0.58488334,0.546902646,0.521882507,0.490362852,0.457157069,0.427333276,0.389226674,0.349269152,0.311488442,0.2771475,0.244991657,0.214708293,0.185714837,0.154341319,0.128397363,0.103922666,0.080925111
-2.0,10.0,0.5,1.0,0.9654081443000017,0.9305806406674924,0.8776757127000049,0.8305466389400001,0.7773234947999984,0.7290641378524996,0.6739567504249964,0.6294331552425018,0.5934928147275017,0.5569072179650036,0.5311119985924962,0.49680342171000186,0.4634560057225015,0.43101697306250203,0.3930302009275014,0.3519716814750014,0.3135140185124989,0.27860212646499927,0.24562932430750023,0.21548856463250077,0.18550818604750005,0.15380609311249882,0.12741882797499965,0.10225706538250018,0.07905574743249956
